БО;Номер послуги;МВП (підрозділ);ТМЦ;Зарплата бригади;ЄСВ_Зарплата бригади;Відрядження Добові_Бригади;Відрядження Проїзд_Бригади;Відрядження Проживання_Бригади;А-92_А/транспорт;А-95 А/транспорт;ДП А/транспорт;Газ_А/транспорт;Автомастила_А/транспорт;Зарплата водіїв;ЄСВ_зарплата водіїв;Амортизація_А/транспорт;Відрядження Добові_Водії;Відрядження Проживання_Водії;Повірка приладів обліку;Інші;Ремонт підр.спос.;Загальновиробничі витрати;АКТ/Особовий рахунок;№ договора (тільки для приєднання);Нормативні кошторисні трудовитрати бригади, люд-год. ;Нормативні кошторисні трудовитрати водіїв, люд-год. 
CK01;2300000248;;0;230,68;50,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;305,14;00005504;;3,90;0
CK01;2300000248;;0;230,68;50,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;305,14;00005741;;3,90;0
CK01;2300000248;CK0120241;0;230,68;50,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;305,14;00006025;;3,90;0
CK01;2300000235;CK0120280;0;106,94;23,53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141,46;00006209;;1,80;0
CK01;2300000235;CK0120282;0;178,5;39,27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;236,12;00006632;;1,50;0
CK01;2300000248;CK0120241;0;59,65;13,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78,91;00006149;;1,00;0
CK01;2300000248;CK0120282;0;1593,66;350,61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2108,09;00005796;;25,40;0
CK01;2300000229;CK0120280;0;1158,15;254,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1504,66;00006205;;9,33;0
CK01;2300000380;CK0120280;0;0;0;0;0;0;47,47;0;0;0;2,43;532,76;117,21;24,25;0;0;0;0;0;0;00006205;;0;0,22
CK01;2300000248;CK0120280;0;341,3;75,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451,48;00006206;;2,90;0
CK01;2300000248;CK0120280;0;188,4;41,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225,74;00006259;;2,90;0
CK01;2300000380;CK0120280;0;0;0;0;0;0;28,05;0;0;0;0,51;111,19;24,46;5,06;0;0;0;0;0;0;00006259;;0;0,13
CK01;2300000257;CK0120282;0;277,6;61,07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;367,2;00006637;;0,93;0
CK01;2300000257;CK0120282;0;750,45;165,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;992,7;00006636;;0,83;0
CK01;2300000257;CK0120282;0;266;58,52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;351,88;00006638;;1,13;0
CK01;2300000257;CK0120282;0;400,24;88,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;529,44;00006635;;0,83;0
