БО;Номер послуги;МВП (підрозділ);ТМЦ;Зарплата бригади;ЄСВ_Зарплата бригади;Відрядження Добові_Бригади;Відрядження Проїзд_Бригади;Відрядження Проживання_Бригади;А-92_А/транспорт;А-95 А/транспорт;ДП А/транспорт;Газ_А/транспорт;Автомастила_А/транспорт;Зарплата водіїв;ЄСВ_зарплата водіїв;Амортизація_А/транспорт;Відрядження Добові_Водії;Відрядження Проживання_Водії;Повірка приладів обліку;Інші;Ремонт підр.спос.;Загальновиробничі витрати;АКТ/Особовий рахунок;№ договора (тільки для приєднання);Нормативні кошторисні трудовитрати бригади, люд-год. ;Нормативні кошторисні трудовитрати водіїв, люд-год. 
CK01;2300000124;CK0120241;0;144,37;31,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137,15;00007504;;1,84;0
CK01;2300000124;CK0120241;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007478;;2,25;0
CK01;2300000124;CK0120241;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007456;;2,25;0
CK01;2300000124;CK0120241;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007477;;2,25;0
CK01;2300000124;CK0120242;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007450;;2,25;0,92
CK01;2300000124;CK0120242;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007380;;2,25;0,92
CK01;2300000124;CK0120242;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007400;;2,25;0,92
CK01;2300000124;CK0120242;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007434;;2,25;0,92
CK01;2300000124;CK0120242;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007435;;2,25;0,92
CK01;2300000124;CK0120241;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007465;;2,25;0
CK01;2300000124;CK0120241;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007461;;2,25;0
CK01;2300000124;CK0120241;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007468;;2,25;0
CK01;2300000124;CK0120242;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007451;;2,25;0,92
CK01;2300000124;CK0120241;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007453;;2,25;0
CK01;2300000124;CK0120242;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007511;;2,25;0,92
CK01;2300000124;CK0120241;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007489;;2,25;0
CK01;2300000124;CK0120241;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007490;;2,25;0
CK01;2300000124;CK0120241;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007491;;2,25;0
CK01;2300000124;CK0120241;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007492;;2,25;0
CK01;2300000124;CK0120241;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007529;;2,25;0
CK01;2300000124;CK0120241;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007530;;2,25;0
CK01;2300000124;CK0120241;0;230,88;50,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309,66;00007562;;2,25;0
