БО;Номер послуги;МВП (підрозділ);ТМЦ;Зарплата бригади;ЄСВ_Зарплата бригади;Відрядження Добові_Бригади;Відрядження Проїзд_Бригади;Відрядження Проживання_Бригади;А-92_А/транспорт;А-95 А/транспорт;ДП А/транспорт;Газ_А/транспорт;Автомастила_А/транспорт;Зарплата водіїв;ЄСВ_зарплата водіїв;Амортизація_А/транспорт;Відрядження Добові_Водії;Відрядження Проживання_Водії;Повірка приладів обліку;Інші;Ремонт підр.спос.;Загальновиробничі витрати;АКТ/Особовий рахунок;№ договора (тільки для приєднання);Нормативні кошторисні трудовитрати бригади, люд-год. ;Нормативні кошторисні трудовитрати водіїв, люд-год. 
CK01;2300000150;CK0120242;190,05;282,16;62,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,05 ;;395,17;00005975;;9,3;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;32,71;0;0;0;14,27;353;77,66;4,35;0;0;0;0;0;0;00005975;;0;0,02
CK01;2300000151;CK0120242;16,35;173,85;38,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,05;;243,48;00005974;;5,73;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;32,71;0;0;0;8,49;221,55;48,74;2,73;0;0;0;0;0;0;00005974;;0;0,02
CK01;2300000151;CK0120242;5,56;59,16;13,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,20;;82,85;00005976;;1,95;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;145,69;0;0;0;4,72;116,68;25,67;1,44;0;0;0;0;0;0;00005976;;0;0,02
CK01;2300000150;CK0120242;353,56;282,16;62,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,20;;395,17;00005978;;9,30;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;145,69;0;0;0;15,69;387,71;85,3;4,78;0;0;0;0;0;0;00005978;;0;0,02
CK01;2300000151;CK0120242;7,62;81,01;17,82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,20;;113,45;00005979;;2,67;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;145,69;0;0;0;5,33;143,27;31,52;1,77;0;0;0;0;0;0;00005979;;0;0,02
CK01;2300000150;CK0120242;353,56;282,16;62,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,20;;395,17;00005980;;9,30;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;145,69;0;0;0;15,69;387,71;85,3;4,78;0;0;0;0;0;0;00005980;;0;0,02
CK01;2300000151;CK0120242;5,87;62,5;13,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,48;;87,53;00005982;;2,06;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;108,33;0;0;0;4,4;108,56;23,88;1,34;0;0;0;0;0;0;00005982;;0;0,02
CK01;2300000150;CK0120242;177,35;147,15;32,37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,48;;206,08;00005983;;4,85;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;108,33;0;0;0;8,12;211,95;46,63;2,61;0;0;0;0;0;0;00005983;;0;0,02
CK01;2300000151;CK0120242;2,16;23,06;5,07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40,45;;32,30;00005984;;0,76;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;324,06;0;0;0;5,12;126,28;27,78;1,56;0;0;0;0;0;0;00005984;;0;0,02
CK01;2300000150;CK0120242;178,41;158,37;34,84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40,45;;221,80;00005989;;5,22;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;324,06;0;0;0;11,78;290,97;64,01;3,59;0;0;0;0;0;0;00005989;;0;0,02
CK01;2300000151;CK0120242;3,8;40,41;8,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,74;;56,59;00005994;;1,33;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;54,29;0;0;0;2,16;65,73;14,46;0,81;0;0;0;0;0;0;00005994;;0;0,02
CK01;2300000150;CK0120242;193,04;314,02;69,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,74;;439,79;00005997;;10,35;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;54,29;0;0;0;15,55;398,79;87,73;4,91;0;0;0;0;0;0;00005997;;0;0,02
CK01;2300000151;CK0120242;5,98;63,71;14,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,62;;89,23;00006000;;2,10;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;205,46;0;0;0;5,65;139,57;30,71;1,72;0;0;0;0;0;0;00006000;;0;0,02
CK01;2300000150;CK0120242;359,55;345,88;76,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,62;;484,40;00006002;;11,40;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;205,46;0;0;0;19,55;482,98;106,26;5,95;0;0;0;0;0;0;00006002;;0;0,02
CK01;2300000151;CK0120242;2,57;27,31;6,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,74;;38,25;00006004;;0,9;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;54,17;0;0;0;2,01;49,48;10,89;0,61;0;0;0;0;0;0;00006004;;0;0,02
