БО;Номер послуги;МВП (підрозділ);ТМЦ;Зарплата бригади;ЄСВ_Зарплата бригади;Відрядження Добові_Бригади;Відрядження Проїзд_Бригади;Відрядження Проживання_Бригади;А-92_А/транспорт;А-95 А/транспорт;ДП А/транспорт;Газ_А/транспорт;Автомастила_А/транспорт;Зарплата водіїв;ЄСВ_зарплата водіїв;Амортизація_А/транспорт;Відрядження Добові_Водії;Відрядження Проживання_Водії;Повірка приладів обліку;Інші;Ремонт підр.спос.;Загальновиробничі витрати;АКТ/Особовий рахунок;№ договора (тільки для приєднання);Нормативні кошторисні трудовитрати бригади, люд-год. ;Нормативні кошторисні трудовитрати водіїв, люд-год. 
CK01;2300000124;CK0104006;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006488;;1,84;0
CK01;2300000124;;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00005413;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006291;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006361;;1,84;0
CK01;2300000124;CK0120244;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006106;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006132;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006199;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006216;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006226;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006263;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006264;;1,84;0
CK01;2300000124;CK0120244;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006543;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006299;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006327;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006331;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006336;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006337;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006363;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006382;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006384;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006400;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006414;;1,84;0
CK01;2300000124;CK0104006;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006485;;1,84;0
CK01;2300000124;CK0104006;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006449;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006450;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006455;;1,84;0
CK01;2300000124;CK0104006;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006474;;1,84;0
CK01;2300000124;CK0104006;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006484;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006489;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006510;;1,84;0
CK01;2300000124;CK0120244;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006512;;1,84;0
CK01;2300000124;CK0120244;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006647;;1,84;0
CK01;2300000124;CK0120244;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006523;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006586;;1,84;0
CK01;2300000124;CK0120244;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006644;;1,84;0
CK01;2300000124;CK0120241;0;103,89;22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,7;00006734;;1,84;0
CK01;2300000124;CK0120241;0;134,26;29,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127,55;00006394;;2,36;0
